word,freq
great,2302
people,1166
president,989
democrats,865
country,858
news,802
thank,800
big,754
fake,735
many,692
would,618
border,618
get,610
new,608
never,588
time,580
america,564
much,548
today,527
good,521
want,509
years,509
media,469
united,465
one,457
even,455
american,452
states,446
done,439
must,428
make,425
back,425
china,416
nothing,410
going,409
like,404
house,400
job,387
bad,372
vote,365
military,357
dems,354
jobs,353
trade,348
election,343
wall,342
deal,340
made,338
crime,337
ever,336
way,331
first,330
state,328
republican,323
hunt,318
win,317
witch,317
said,314
us,306
day,306
world,302
security,301
see,299
russia,296
also,295
republicans,295
history,294
working,285
go,284
collusion,284
year,283
hard,283
strong,276
really,269
work,268
last,266
north,264
know,261
look,258
fbi,258
tax,257
long,256
well,255
democrat,253
total,253
congress,252
economy,252
two,251
foxnews,250
far,249
party,244
obama,243
better,239
congratulations,235
honor,233
korea,228
hillary,228
mueller,227
got,223
campaign,220
best,220
senate,219
looking,216
mexico,216
need,216
help,215
getting,215
report,214
dollars,214
foxandfriends,212
administration,212
national,208
come,206
000,206
things,205
meeting,205
others,205
impeachment,205
countries,203
totally,202
right,201
coming,201
money,200
together,199
illegal,199
take,198
forward,197
white,193
law,186
always,186
immigration,186
call,186
governor,185
clinton,184
high,184
record,183
end,183
story,182
left,180
crooked,178
wrong,177
usa,177
night,175
including,175
wonderful,174
fact,174
another,173
pelosi,172
tariffs,171
stop,171
let,170
bill,169
could,168
soon,168
support,163
making,163
say,161
numbers,160
corrupt,160
think,159
justice,159
comey,159
happy,158
nancy,158
keep,154
since,154
nation,152
york,152
washington,151
billion,151
everyone,151
hoax,151
cnn,150
important,150
iran,150
love,150
john,149
borders,149
court,149
florida,146
put,146
book,144
massive,144
thing,143
true,143
schiff,143
times,142
cuts,142
called,141
tonight,141
market,141
believe,140
maga,140
americans,139
give,138
senator,137
general,136
every,136
endorsement,136
companies,134
southern,134
real,132
place,130
presidential,130
already,129
phony,128
incredible,128
tremendous,128
government,127
taxes,126
order,125
federal,124
political,124
women,124
show,123
yesterday,123
full,123
whitehouse,123
vets,123
open,122
may,120
russian,120
watch,120
despite,120
happen,119
remember,118
terrible,117
anything,117
trying,116
pay,115
healthcare,115
case,115
radical,115
stock,115
office,113
minister,112
beautiful,112
farmers,112
almost,112
lost,111
complete,111
continue,111
future,111
protect,110
man,110
next,110
paid,109
wow,109
business,108
start,108
yet,107
prime,107
problem,106
low,106
fight,106
loves,105
truly,104
badly,104
greatest,104
read,104
tough,104
james,102
fantastic,102
tomorrow,102
obstruction,102
laws,102
major,101
00,101
wants,101
little,100
enforcement,100
home,100
god,100
crazy,99
without,99
highly,99
something,99
texas,99
act,98
economic,98
run,97
carolina,97
unemployment,97
taking,96
proud,96
hit,96
family,96
along,96
2020,96
number,95
around,95
congressman,95
angry,95
fighting,95
2016,94
care,94
talk,94
ukraine,94
large,94
secretary,94
fast,94
families,94
allowed,93
information,93
actually,93
seen,93
billions,93
ratings,92
change,92
leaders,92
heading,92
south,92
amendment,92
welcome,91
morning,91
use,91
ago,91
investigation,91
supreme,91
failing,91
california,91
safe,90
special,90
statement,90
life,90
running,90
whistleblower,90
everything,90
joe,90
safety,89
level,89
close,89
become,88
finally,88
ready,88
join,88
isis,88
biggest,88
kim,88
leaving,87
highest,87
cut,86
given,86
second,86
zero,86
gone,85
weak,85
drug,85
stand,85
took,85
victory,84
stated,84
obamacare,84
perhaps,84
reason,84
men,84
based,84
approval,84
team,84
nice,83
dishonest,83
rally,83
system,83
find,83
possible,83
scam,83
used,82
longer,82
unfair,82
stories,81
person,81
told,81
workers,81
hope,80
schumer,80
built,80
days,80
lives,80
talking,80
sad,79
taken,79
cannot,79
drugs,79
worst,78
thought,78
spoke,78
deals,78
votes,78
melania,78
100,78
energy,78
adam,78
daca,78
rate,77
away,77
build,77
gave,77
war,77
ridiculous,77
winning,77
poll,77
process,77
intelligence,76
millions,76
reporting,76
success,76
words,76
fair,76
week,75
dangerous,75
disaster,75
syria,75
enjoy,75
amazing,75
lowest,75
anyone,74
ohio,74
successful,74
false,74
live,74
worse,74
service,74
press,74
still,74
part,74
japan,74
pennsylvania,74
post,74
fed,74
needed,73
saying,73
quickly,73
guy,73
smart,73
attack,73
israel,73
happened,73
relationship,72
dossier,72
bring,72
asked,72
fired,72
13,72
else,72
happening,71
friend,71
rigged,71
power,71
prices,71
chuck,70
decision,70
respected,70
please,70
stronger,70
2nd,70
fix,69
respect,69
nations,69
meetings,69
tell,69
immediately,69
worked,69
department,69
reform,68
fully,68
former,68
lawyer,68
game,68
started,68
turkey,68
nuclear,67
free,67
allow,67
10,67
bob,67
nytimes,67
point,67
nato,67
50,67
beginning,66
million,66
agree,66
entire,66
steel,66
wanted,66
virginia,66
able,65
members,65
interest,65
went,64
public,64
thanks,64
polls,64
potential,64
un,64
friends,64
signed,64
dnc,63
top,63
committee,63
building,63
meet,63
evidence,63
illegally,63
higher,63
leader,63
lot,63
france,63
especially,63
leadership,63
months,63
watching,63
came,62
failed,62
horrible,62
control,62
mike,62
decades,62
agenda,62
knows,61
pass,61
mark,61
sources,61
november,61
historic,61
foreign,61
bless,61
robert,61
paying,60
announced,60
facts,60
fraud,60
easy,60
michael,60
crimes,60
race,59
knew,59
politics,59
action,59
interviewed,59
alabama,59
attorney,59
canada,59
page,59
criminal,59
past,58
continues,58
judge,58
thousands,58
early,58
whole,58
andrew,58
progress,58
director,58
spending,58
hurricane,58
side,58
released,57
heroes,57
middle,57
force,57
veterans,57
jeff,57
puerto,57
rico,57
fema,57
biden,57
less,56
stay,56
evening,56
brave,56
forced,56
jong,56
crowd,55
xi,55
peace,55
giving,54
agreement,54
lies,54
nbc,54
lower,54
enemy,54
pro,54
though,54
loudobbs,54
old,53
hopefully,53
dollar,53
cost,53
east,53
disgrace,53
reported,53
matter,53
phone,53
lie,52
seeing,52
prayers,52
candidate,52
try,52
treated,52
caught,52
chairman,52
freedom,52
responders,52
hate,52
louisiana,52
patrol,52
ask,51
strongly,51
starting,51
policy,51
20,51
25,51
crisis,51
flotus,51
west,51
peter,51
corruption,51
conference,50
results,50
voting,50
enough,50
speech,50
hurt,50
seanhannity,50
agreed,50
police,50
shows,50
transcript,50
dan,50
three,49
city,49
tuesday,49
conversation,49
growth,49
powerful,49
plus,49
local,49
anti,49
interview,48
small,48
helping,48
voted,48
rating,48
playing,48
move,48
david,48
senators,48
everybody,48
looks,48
sleepy,48
30,48
except,48
opponent,48
ukrainian,48
mccabe,48
release,48
impeach,48
usmca,48
confidence,47
dead,47
different,47
losing,47
killed,47
chance,47
brought,47
primary,47
mayor,46
plan,46
truth,46
spent,46
asking,46
germany,46
probably,46
cities,46
term,46
human,46
shutdown,46
lose,45
policies,45
absolutely,45
written,45
leave,45
maybe,45
choice,45
georgia,45
union,45
kevin,45
michigan,44
understand,44
thoughts,44
says,44
rather,44
bigger,44
elected,44
using,44
representatives,44
etc,44
set,44
nobody,44
sign,44
mainstream,44
reserve,44
across,43
focus,43
district,43
bringing,43
chief,43
sanctuary,43
europe,43
increase,43
legal,43
involved,43
talks,43
hear,43
committed,43
citizens,43
emails,43
rates,43
easily,42
defense,42
least,42
kind,42
2018,42
correct,42
steve,42
closely,42
oil,42
pressure,42
victims,41
scott,41
credibility,41
air,41
replace,41
save,41
moving,41
15,41
approved,41
found,41
kentucky,41
testimony,41
forget,41
putting,41
means,41
strzok,41
mess,40
sure,40
situation,40
within,40
rest,40
certain,40
bernie,40
met,40
play,40
rep,40
paul,40
legislation,40
pleased,40
event,40
raise,40
wisconsin,40
ms,40
staff,40
18,40
ice,40
european,40
kavanaugh,40
arizona,39
birthday,39
negative,39
vietnam,39
testify,39
acting,39
amazon,39
word,39
17,39
judges,39
outstanding,39
weeks,38
sorry,38
step,38
advantage,38
either,38
dem,38
fire,38
charge,38
likewise,38
insurance,38
heard,38
sanctions,38
someone,38
necessary,38
anywhere,38
children,38
passed,38
shortly,38
points,38
anyway,38
minnesota,37
russians,37
coverage,37
concerning,37
abc,37
needs,37
consumer,37
turned,37
speak,37
troops,37
officials,37
infrastructure,37
greatly,37
summit,37
wife,37
young,37
issue,37
question,37
fisa,37
2017,36
due,36
lead,36
serve,36
celebrate,36
send,36
gets,36
congressional,36
death,36
lawyers,36
mr,36
broken,36
repeal,36
makes,36
known,36
african,36
hand,36
honored,36
fine,36
visit,36
hearing,36
turn,36
idea,36
lisa,36
flag,36
harassment,36
inflation,36
pouring,35
address,35
fought,35
gang,35
sick,35
tuckercarlson,35
announce,35
jim,35
exciting,35
counsel,35
killing,35
hours,35
importantly,35
created,35
documents,35
desperately,35
barriers,35
spy,34
manufacturing,34
interesting,34
putin,34
negotiations,34
remarks,34
500,34
month,34
players,34
center,34
school,34
hundreds,34
financial,34
records,34
destroy,34
street,34
credit,34
loopholes,34
setting,33
final,33
later,33
problems,33
changed,33
watched,33
recent,33
disgraceful,33
sessions,33
lying,33
ambassador,33
outside,33
positive,33
gdp,33
comes,33
product,33
arrived,33
exist,33
dirty,33
conflicted,33
abuse,33
mitch,33
anthem,33
bipartisan,33
instead,32
expensive,32
voters,32
discussed,32
tried,32
mistake,32
apologize,32
11,32
nafta,32
course,32
held,32
immigrants,32
fox,32
gotten,32
criminals,32
msnbc,32
non,32
unable,32
behalf,32
clean,32
lady,32
officers,32
whatever,32
led,32
short,32
mcconnell,32
nfl,32
shifty,32
amounts,31
car,31
brennan,31
king,31
vp,31
brian,31
anymore,31
hits,31
statements,31
saved,31
subject,31
perfect,31
saudi,31
son,31
wins,31
fraudulent,31
whose,31
beyond,31
talented,31
jerry,31
extraordinary,31
matt,31
doj,31
el,31
trial,31
kurds,31
greater,30
standard,30
bush,30
classified,30
12,30
afternoon,30
pence,30
speaking,30
joint,30
sadly,30
trillion,30
innocent,30
patriots,30
haters,30
majority,30
price,30
dow,30
spirit,30
host,30
presidency,30
protection,30
name,30
thinking,30
agent,30
questions,29
