word,freq
hillary,345
thank,319
great,294
clinton,241
crooked,180
people,165
america,129
join,125
make,122
get,100
president,99
today,94
new,92
going,91
maga,88
media,87
country,85
vote,83
bad,81
time,80
one,76
never,75
jobs,75
many,74
cnn,73
back,73
obama,72
tonight,68
tomorrow,68
would,67
bei,67
debate,66
draintheswamp,66
big,65
ohio,65
florida,64
watch,62
last,59
americafirst,59
said,58
together,56
makeamericagreatagain,55
support,55
speech,55
us,55
like,53
american,53
pence,53
much,52
win,50
election,50
mike,50
bernie,49
want,49
night,49
tickets,48
campaign,48
poll,47
enjoy,46
see,44
job,44
news,44
state,44
look,43
imwithyou,42
must,41
safe,41
dishonest,41
movement,40
bigleaguetruth,40
foxnews,39
even,39
years,39
good,39
rally,39
pennsylvania,39
states,39
totally,38
way,38
soon,38
north,38
nevada,38
supporters,37
world,37
carolina,37
trump2016,36
obamacare,36
know,36
hillaryclinton,35
go,35
made,34
meeting,34
day,34
change,33
isis,33
nytimes,32
wow,32
americans,32
really,32
11,32
let,32
interviewed,31
000,31
first,31
nothing,31
university,30
total,30
crookedhillary,30
sanders,29
wall,29
amazing,29
called,29
polls,29
united,29
bill,29
colorado,29
live,29
7pm,28
national,28
done,28
washington,28
vegas,28
iowa,28
trumppence16,28
two,28
ratings,27
failing,27
morning,27
wonderful,27
00,27
mexico,27
virginia,27
las,27
rigged,27
disaster,26
nice,26
believe,26
massive,26
republican,26
take,26
convention,26
another,25
terrible,25
hard,25
need,25
money,25
arizona,25
kaine,25
say,24
women,23
right,23
work,23
democrats,23
saying,23
law,23
wrong,23
got,23
better,23
john,23
looking,23
ever,22
border,22
watching,22
trade,22
failed,22
sad,22
immigration,22
everyone,22
always,22
governor,22
michigan,22
making,21
report,21
crowd,21
lost,21
forward,21
house,21
dems,21
russia,21
icymi,21
getting,20
story,20
well,20
judgement,20
working,20
stop,20
proud,20
far,20
general,20
order,20
lies,20
deal,20
system,20
fbi,20
tower,20
show,19
evening,19
yesterday,19
things,19
badly,19
emails,19
million,19
officers,19
fight,19
numbers,19
business,19
worse,19
crime,19
bring,19
love,18
keep,18
top,18
voters,18
3pm,18
pay,18
tax,18
repeal,18
biased,17
thanks,17
