word,freq
great,2123
people,1063
president,909
democrats,779
country,773
thank,734
news,724
big,678
fake,674
many,613
get,572
would,571
new,543
never,526
time,524
border,515
america,503
much,501
today,485
good,473
years,465
want,445
united,435
media,421
one,419
even,417
states,415
american,412
done,408
china,400
must,394
make,382
nothing,373
like,372
job,368
going,367
back,363
house,351
vote,351
bad,334
trade,322
military,322
dems,319
jobs,315
ever,312
state,310
election,308
witch,305
hunt,305
way,304
deal,301
made,301
crime,301
republican,300
first,295
win,290
us,285
said,277
world,276
see,275
russia,274
collusion,273
history,271
day,269
republicans,268
also,267
hard,265
working,264
go,256
strong,253
north,250
wall,244
fbi,244
really,242
know,240
work,238
tax,237
year,237
democrat,237
security,236
total,235
look,235
congress,234
well,233
long,232
last,230
economy,228
obama,227
far,225
mueller,225
two,223
foxnews,222
congratulations,220
better,220
honor,218
korea,212
party,210
hillary,209
got,205
campaign,203
looking,201
report,200
senate,200
best,199
countries,195
come,194
need,194
getting,193
dollars,192
help,192
administration,189
foxandfriends,189
others,188
mexico,186
things,185
governor,183
forward,183
totally,183
impeachment,183
right,182
call,181
money,181
take,180
national,179
illegal,177
together,177
meeting,174
coming,174
law,174
immigration,172
story,172
white,172
000,169
high,168
left,168
clinton,167
tariffs,166
always,165
usa,165
crooked,165
wonderful,163
fact,162
end,162
night,161
wrong,159
bill,157
could,157
let,157
pelosi,155
another,154
justice,154
record,153
including,153
soon,151
comey,150
say,149
corrupt,149
think,148
keep,147
making,146
happy,145
support,145
stop,145
love,144
york,144
florida,142
nation,141
john,141
court,140
everyone,140
schiff,140
important,138
billion,138
true,137
numbers,137
borders,137
since,136
endorsement,136
cnn,134
put,133
hoax,133
cuts,131
maga,131
washington,130
senator,130
nancy,130
believe,129
book,129
called,128
tonight,128
market,127
every,126
general,125
massive,125
give,124
thing,123
times,123
companies,122
real,121
vets,121
taxes,120
incredible,120
presidential,120
place,119
americans,119
already,118
phony,118
federal,117
whitehouse,116
show,116
women,115
full,115
russian,115
despite,114
may,113
order,113
tremendous,113
open,113
iran,112
political,112
government,111
trying,111
yesterday,109
watch,109
healthcare,109
anything,109
radical,108
case,108
happen,108
terrible,107
minister,107
continue,107
man,106
beautiful,106
farmers,106
southern,105
next,105
remember,105
almost,105
protect,103
complete,103
loves,102
prime,101
lost,101
wow,101
stock,101
future,101
laws,101
pay,101
obstruction,100
start,99
office,99
business,98
yet,98
home,98
fight,98
read,98
wants,98
god,98
low,97
highly,97
tough,97
problem,96
tomorrow,96
enforcement,95
truly,95
carolina,95
greatest,95
fantastic,94
paid,93
something,93
james,93
along,92
crazy,92
major,92
family,92
congressman,92
texas,92
families,91
amendment,91
run,90
badly,90
information,90
ukraine,90
00,89
california,89
proud,89
angry,89
whistleblower,89
joe,89
secretary,88
fast,88
allowed,87
act,87
actually,87
around,87
little,87
hit,87
fighting,87
seen,86
welcome,86
south,86
running,86
2020,86
failing,85
heading,85
level,85
close,85
investigation,85
economic,85
2016,85
join,84
supreme,84
taking,84
morning,84
large,84
second,84
